Title,Author(s),Publisher(s),Year Published,Pages,Description,Genre
कुछ आदर्श कहानियाँ (Some Ideal Stories),चतुर्वेदी सत्यदेव,वाराणसी लोक साघना कोन्द्र,2012,46,A collection of ideal stories aimed at moral and spiritual upliftment.,"Fiction, Inspirational"
The Holy Bible,Various Authors,Forgotten Books,2015-07-17,388,"The Holy Bible, a central religious text in Christianity.","Religious, Scripture"
ध्यान और आध्यात्मिक जीवन (Meditation and Spiritual Life),Swami Yatishwarananda,"Ramakrishna Math, Nagpur",2018,588,Discusses meditation practices and their impact on spiritual life.,"Spiritual, Self-help"
विकृति सुधा (Vikriti Sudha),Dineśa Kālā Vahī,Loka Sādhanā Kendra,2008,159,Focuses on issues of distortion or transformation in cultural contexts.,"Literature, Cultural Studies"
Plant Adaptation & Crop Improvement,"Graeme L. Hammer, Mark Cooper",CAB International,1996,636,Examines how plants adapt to their environments and how this impacts crop improvement.,"Agriculture, Botany"
Agronomy Basic & Applied,Gajendra Singh Tomar,Satish Serial Publishing House,2010,20,Covers fundamental and applied aspects of agronomy.,"Agriculture, Textbook"
Seed Borne Diseases Eco-Friendly Management,Arun Arya,Scientific Publishers India,2012,,Strategies for managing seed-borne diseases using eco-friendly methods.,"Agriculture, Plant Pathology"
Broadening the Genetic Base of Crop Production,"H Cooper, Toby Hodgkin, Charlie Spillane",CABI,2001,480,Discusses methods for increasing genetic diversity in crop production.,"Agriculture, Genetics"
Biotechnology for Agriculture Breeding,S. K. Mangal,SBPD Publications,2020-06-27,1160,Explores the application of biotechnology in agricultural breeding to enhance crop yields and resilience.,"Agriculture, Biotechnology"
आस्य विज्ञान के सिद्धान्त (Principles of Plant Science),"R.L. Arya, R.S. Kureel",Scientific Publishers,2017,892,"Discusses the fundamental principles of plant science, including plant growth, development, and genetics.","Botany, Science"
Introduction to Crops of India,N. R. Das,Iain Pears,1999,920,"Provides an introduction to the various crops grown in India, their cultivation practices, and economic importance.","Agriculture, Textbook"
Crop Science and Land Use for Food & Bio-Energy,R. K. Behl,Franz Dominicus Haeberlin,1804,778,Examines crop science and land use strategies for producing food and bio-energy.,"Agriculture, Environmental"
Crop Variety Improvement and Its Effect on Productivity,Food and Agriculture Organization of the United Nations (FAO),Food and Agriculture Organization of the United Nations,,2018-06-27,Analyzes how improvements in crop varieties affect agricultural productivity.,"Agriculture, Genetics"
Plant Breeding and Whole System Crop Physiology,"Don H. Wallace, Weikai Yan",Cab International,1998,390,Covers plant breeding techniques and their integration with whole system crop physiology for better crop management.,"Agriculture, Plant Science"
Crop Improvement Utilizing Biotechnology,Rup Lal,Suryakala Thapa,1994,,Discusses the role of biotechnology in crop improvement and its impact on agricultural productivity.,"Agriculture, Biotechnology"
भारतीय संस्कृति (Indian Culture),डॉ. किरण टंडन (DR. KIRAN TANDON,EASTERN BOOK LINKERS,2017,546,Explores the rich and diverse cultural heritage of India.,"Cultural Studies, History"
गांवों में रोजगार के साधन (Employment Opportunities in Villages),Madhusūdana Tripāṭhī,Sahitya Akademi,1997,,Investigates employment opportunities and economic development in rural villages.,"Rural Development, Economics"
विकलांगता समस्याएं व समाधान (Disability Issues and Solutions),Vinoda Kumāra Miśra,Kitabghar Prakashan,2002,295,Examines the issues related to disability and possible solutions for better integration and support.,"Social Issues, Health"
Economic and Social Issues in Agricultural Biotechnology,"David Zilberman, Robert E. Evenson, V. Santaniello",CABI,2002,448,Analyzes economic and social challenges within the field of agricultural biotechnology.,"Agriculture, Economics"
Indian Village 2020 Vol - 1,Y.P. Singh (ed.),Concept Publishing Company,2006,534,"A study of contemporary issues and developments in Indian villages, Volume 1.","Rural Studies, Sociology"
Assignment Colombo,Jyotindra Nath Dixit,Vijitha Yapa Bookshop,2001,407,"Details a specific assignment related to the Colombo context, possibly focusing on regional or international issues.","Historical, Political"
Worshipping False Gods,Arun Shourie,Arun Shourie,1985,57,,"Philosophy, Religion"
"India, China, and Indo-China",,,,,"Examines the historical and political relations between India, China, and Indo-China.","History, Politics"
India & Pakistan,"Dennis Kux, Paul H. Kreisberg, Selig S. Harrison",Cambridge University Press,1999,216,Discusses the historical and contemporary issues between India and Pakistan.,"History, Political"
Divided Kashmir,Mushtaqur Rahman,Lynne Rienner Publishers,1996,219,Explores the division of Kashmir and its political and social consequences.,"History, Politics"
Technology & Rural Development,C. H. Bala Ramula,Rawat Pubns,2000,190,Discusses the role of technology in the development of rural areas.,"Technology, Rural Development"
Biosphere Reserves in India,Sharad Singh Negi,Indus Publishing Company,1996,221,Covers various biosphere reserves in India and their ecological importance.,Environmental Science
लोकतंत्र की प्रक्रिया (The Process of Democracy),,,,,Examines the functioning and process of democracy in India.,"Political Science, Democracy"
पर्यावरण शिक्षा (Environmental Education),SUJATA BIST,TAKSHILA PRAKASHAN,2005,160,Focuses on the principles and importance of environmental education.,Environmental Science
आधुनिक भारत का आर्थिक इतिहास (Economic History of Modern India),Shridhar Pandey,,2016,216,Provides a detailed examination of the economic developments in India from the colonial period to modern times.,"History, Economics"
"Political, Legal, and War Philosophy in Ancient India",H. S. Bhatia,,1976,,"Analyzes the political, legal, and philosophical aspects of warfare in ancient India.","History, Philosophy"
"Bangladesh, India, and Pakistan",Kathryn Jacques,,2008,8,"Discusses the historical, political, and cultural relationships between Bangladesh, India, and Pakistan.","History, Politics"
Military Year Book 33rd Year of Issue,the University of Michigan,UM Libraries,1956,24,Annual publication detailing military activities and developments for the 33rd year of issue.,"Military, Reference"
Indian Village 2020 Vol II,Y.P. Singh,Oxford University Press,1982,276,"A study of the contemporary issues and developments in Indian villages, Volume II.","Rural Studies, Sociology"
"Maharashtrians, Sikhs & Southern Sultans of India",Shimran Khan,,2006,390,"Examines the roles of Maharashtrians, Sikhs, and Southern Sultans in Indian history.","History, Sociology"
Ladakh Past & Present,Prem Singh Jina,Diamond Pocket Books (P) Ltd.,,152,Chronicles the history and current status of Ladakh.,"History, Regional Studies"
Development as Freedom,Amartya Sen,Cambridge University Press,2010,241,"Explores the concept of development as freedom, emphasizing the role of freedom in economic and social development.","Economics, Development"
British Colonial Government in India,Harbans Singh Bhatia,,1988,354,Analyzes the structure and functioning of the British colonial government in India.,"History, Colonial Studies"
"Society, Law, and Administration in Ancient India",Harbans Singh Bhatia,,1988,354,"Explores the interplay of society, law, and administration in ancient India.","History, Law"
महिला और मानवाधिकार (Women and Human Rights),Mamta Mahrotra,Prabhat Prakashan,2022-04-05,285,Discusses the issues of women's rights and human rights in contemporary society.,"Human Rights, Gender Studies"
Kargil Cross Border Terrorism,M. K. Akbar,,1917,100,Examines cross-border terrorism during the Kargil conflict.,"Military, Political"
The Kargil War,Praveen Swami,Lulu.com,,380,"Provides a detailed account of the Kargil War, including strategic, military, and political aspects.",Military History
पर्यावरण और कानून (Environment and Law),,,,,Examines the relationship between environmental issues and legal frameworks.,Environmental Law
Genesis of British Power in India,Harbans Singh Bhatia,Mohinder Singh,1988,354,Analyzes the origins and expansion of British power in India.,"History, Colonial Studies"
Social Stratification in Rural Kumaon,R. D. Sanwal,Oxford University Press,1976,213,Analyzes social hierarchy and class divisions in the rural area of Kumaon.,"Sociology, Rural Studies"
The East Asian Currency Crisis,Mihir Rakshit,Oxford University Press,2002,288,"Discusses the financial crisis that affected East Asian economies, focusing on causes and impacts.","Economics, Finance"
End of British Power and the Partition of India,Harbans Singh Bhatia,Mohinder Singh,1988,354,"Explores the decline of British colonial power in India and the subsequent partition of India, analyzing the political, social, and historical factors leading to the end of British rule and the creation of India and Pakistan.
","History, Colonial Studies"
Management in Rural Development,"Arvinder Singh Chawla, B. S. Bhatia, Prem Kumar",Deep & Deep Publications,1990,320,Explores management strategies for rural development projects.,Development Studies
Regulating the Liabilities of Agricultural Biotechnology," Stuart Smyth (Editor), Peter Phillips (Editor), William Kerr (Editor), George Khachatourians (Editor)",CABI Publishing,2004,224,Examines the regulatory frameworks for managing liabilities in agricultural biotechnology.,"Agriculture, Biotechnology"
Agricultural and Intellectual Property Rights,V. Santaniello,Byron A. Falk,1999,620,"Examines the intersection of agricultural practices and intellectual property rights, focusing on legal and policy aspects.","Agriculture, Intellectual Property"
Rights to Plant Genetic Resources & Traditional Knowledge,"Susette Biber-Klemm, Thomas Cottier",CABI,2006,400,"Discusses the rights related to plant genetic resources and traditional knowledge, including legal and ethical considerations.","Agriculture, Intellectual Property"
Defence Programmes of India,H. B. Mishra,Rajkamal Prakashan Pvt Ltd,2009-01-01,71,"Provides an overview of India's defense programs, including strategies, technologies, and capabilities.","Military, Defence"
The Writing on the Wall: India Checkmates America - 2017,S. Padmanabhan,GRIN Verlag,2016-09-20,11,Analyzes the geopolitical and strategic implications of India's relationship with America as of 2017.,Political Analysis
Pak Proxy War,Rajeev Sharma,Prabhat Prakashan,2022-09-15,195,"Explores the proxy wars involving Pakistan, detailing their impact and strategic goals.","Military, Political Science"
From Surprise to Reckoning: The Kargil Review Committee,Government of India,[New Delhi] : Orient Longman,1971,440,Reviews the findings and recommendations of the Kargil Review Committee following the Kargil War.,"Military, Historical Analysis"
War in the 21st Century,G. D. Bakshi,by Mocktime Publication,0101-01-01,,Analyzes the nature of warfare and military strategies in the 21st century.,"Military, Political Science"
Military Lessons of the Gulf War,Bruce W. Watson,,2014,,Examines the military strategies and lessons learned from the Gulf War.,"Military, Historical Analysis"
